taxonomy_id,sector,category,subcategory
TX0001,Technology,Semiconductor,GPU
TX0002,Technology,Semiconductor,CPU
TX0003,Technology,Semiconductor,HBM
TX0004,Technology,Semiconductor,Foundry
TX0005,Technology,Semiconductor,GPU Trend
TX0006,Technology,Semiconductor,GPU Market
TX0007,Technology,Semiconductor,GPU Strategy
TX0008,Technology,Semiconductor,GPU Case Study
TX0009,Technology,AI Platform,Generative AI
TX0010,Technology,AI Platform,AI Agent
TX0011,Technology,AI Platform,Model Serving
TX0012,Technology,AI Platform,Inference
TX0013,Technology,AI Platform,Generative AI Trend
TX0014,Technology,AI Platform,Generative AI Market
TX0015,Technology,AI Platform,Generative AI Strategy
TX0016,Technology,AI Platform,Generative AI Case Study
TX0017,Technology,Cloud,IaaS
TX0018,Technology,Cloud,SaaS
TX0019,Technology,Cloud,Data Center
TX0020,Technology,Cloud,Cybersecurity
TX0021,Technology,Cloud,IaaS Trend
TX0022,Technology,Cloud,IaaS Market
TX0023,Technology,Cloud,IaaS Strategy
TX0024,Technology,Cloud,IaaS Case Study
TX0025,Consumer,Food,Milk Tea
TX0026,Consumer,Food,Ramen
TX0027,Consumer,Food,Dessert
TX0028,Consumer,Food,Functional Food
TX0029,Consumer,Food,Milk Tea Trend
TX0030,Consumer,Food,Milk Tea Market
TX0031,Consumer,Food,Milk Tea Strategy
TX0032,Consumer,Food,Milk Tea Case Study
TX0033,Consumer,Beauty,Skincare
TX0034,Consumer,Beauty,Makeup
TX0035,Consumer,Beauty,Fragrance
TX0036,Consumer,Beauty,Derma Cosmetics
TX0037,Consumer,Beauty,Skincare Trend
TX0038,Consumer,Beauty,Skincare Market
TX0039,Consumer,Beauty,Skincare Strategy
TX0040,Consumer,Beauty,Skincare Case Study
TX0041,Consumer,Lifestyle,Pet Care
TX0042,Consumer,Lifestyle,Home Decor
TX0043,Consumer,Lifestyle,Kitchenware
TX0044,Consumer,Lifestyle,Outdoor
TX0045,Consumer,Lifestyle,Pet Care Trend
TX0046,Consumer,Lifestyle,Pet Care Market
TX0047,Consumer,Lifestyle,Pet Care Strategy
TX0048,Consumer,Lifestyle,Pet Care Case Study
TX0049,Retail,Convenience,CU
TX0050,Retail,Convenience,GS25
TX0051,Retail,Convenience,7-Eleven
TX0052,Retail,Convenience,Quick Commerce
TX0053,Retail,Convenience,CU Trend
TX0054,Retail,Convenience,CU Market
TX0055,Retail,Convenience,CU Strategy
TX0056,Retail,Convenience,CU Case Study
TX0057,Retail,E-Commerce,Marketplaces
TX0058,Retail,E-Commerce,Live Commerce
TX0059,Retail,E-Commerce,D2C
TX0060,Retail,E-Commerce,Social Commerce
TX0061,Retail,E-Commerce,Marketplaces Trend
TX0062,Retail,E-Commerce,Marketplaces Market
TX0063,Retail,E-Commerce,Marketplaces Strategy
TX0064,Retail,E-Commerce,Marketplaces Case Study
TX0065,Retail,Department Store,Luxury Hall
TX0066,Retail,Department Store,Duty Free
TX0067,Retail,Department Store,Flagship Store
TX0068,Retail,Department Store,Store Design
TX0069,Retail,Department Store,Luxury Hall Trend
TX0070,Retail,Department Store,Luxury Hall Market
TX0071,Retail,Department Store,Luxury Hall Strategy
TX0072,Retail,Department Store,Luxury Hall Case Study
TX0073,Finance,Banking,Rate Cycle
TX0074,Finance,Banking,Household Loans
TX0075,Finance,Banking,SME Loans
TX0076,Finance,Banking,NIM
TX0077,Finance,Banking,Rate Cycle Trend
TX0078,Finance,Banking,Rate Cycle Market
TX0079,Finance,Banking,Rate Cycle Strategy
TX0080,Finance,Banking,Rate Cycle Case Study
TX0081,Finance,Capital Market,Brokerage
TX0082,Finance,Capital Market,Asset Management
TX0083,Finance,Capital Market,ETF
TX0084,Finance,Capital Market,Retirement
TX0085,Finance,Capital Market,Brokerage Trend
TX0086,Finance,Capital Market,Brokerage Market
TX0087,Finance,Capital Market,Brokerage Strategy
TX0088,Finance,Capital Market,Brokerage Case Study
TX0089,Finance,Insurance,Life Insurance
TX0090,Finance,Insurance,P&C
TX0091,Finance,Insurance,Health Insurance
TX0092,Finance,Insurance,Reinsurance
TX0093,Finance,Insurance,Life Insurance Trend
TX0094,Finance,Insurance,Life Insurance Market
TX0095,Finance,Insurance,Life Insurance Strategy
TX0096,Finance,Insurance,Life Insurance Case Study
TX0097,Healthcare,Pharma,Oncology
TX0098,Healthcare,Pharma,Immunology
TX0099,Healthcare,Pharma,Metabolic
TX0100,Healthcare,Pharma,Rare Disease
TX0101,Healthcare,Pharma,Oncology Trend
TX0102,Healthcare,Pharma,Oncology Market
TX0103,Healthcare,Pharma,Oncology Strategy
TX0104,Healthcare,Pharma,Oncology Case Study
TX0105,Healthcare,Medical Service,Hospital
TX0106,Healthcare,Medical Service,Screening
TX0107,Healthcare,Medical Service,Digital Health
TX0108,Healthcare,Medical Service,Telemedicine
TX0109,Healthcare,Medical Service,Hospital Trend
TX0110,Healthcare,Medical Service,Hospital Market
TX0111,Healthcare,Medical Service,Hospital Strategy
TX0112,Healthcare,Medical Service,Hospital Case Study
TX0113,Healthcare,Nutrition,Medical Nutrition
TX0114,Healthcare,Nutrition,Supplements
TX0115,Healthcare,Nutrition,Diet Therapy
TX0116,Healthcare,Nutrition,Preventive Care
TX0117,Healthcare,Nutrition,Medical Nutrition Trend
TX0118,Healthcare,Nutrition,Medical Nutrition Market
TX0119,Healthcare,Nutrition,Medical Nutrition Strategy
TX0120,Healthcare,Nutrition,Medical Nutrition Case Study
TX0121,Education,K-12,Suneung
TX0122,Education,K-12,Mock Exam
TX0123,Education,K-12,English
TX0124,Education,K-12,Math
TX0125,Education,K-12,Suneung Trend
TX0126,Education,K-12,Suneung Market
TX0127,Education,K-12,Suneung Strategy
TX0128,Education,K-12,Suneung Case Study
TX0129,Education,Private Education,Academy
TX0130,Education,Private Education,Online Lecture
TX0131,Education,Private Education,Study Cafe
TX0132,Education,Private Education,Curriculum
TX0133,Education,Private Education,Academy Trend
TX0134,Education,Private Education,Academy Market
TX0135,Education,Private Education,Academy Strategy
TX0136,Education,Private Education,Academy Case Study
TX0137,Education,EdTech,AI Tutor
TX0138,Education,EdTech,LMS
TX0139,Education,EdTech,Digital Textbook
TX0140,Education,EdTech,Test Prep App
TX0141,Education,EdTech,AI Tutor Trend
TX0142,Education,EdTech,AI Tutor Market
TX0143,Education,EdTech,AI Tutor Strategy
TX0144,Education,EdTech,AI Tutor Case Study
TX0145,Energy,Oil & Gas,Crude Oil
TX0146,Energy,Oil & Gas,LNG
TX0147,Energy,Oil & Gas,Refining
TX0148,Energy,Oil & Gas,Petrochemical
TX0149,Energy,Oil & Gas,Crude Oil Trend
TX0150,Energy,Oil & Gas,Crude Oil Market
TX0151,Energy,Oil & Gas,Crude Oil Strategy
TX0152,Energy,Oil & Gas,Crude Oil Case Study
TX0153,Energy,Power,Grid
TX0154,Energy,Power,Utility
TX0155,Energy,Power,IPP
TX0156,Energy,Power,Smart Meter
TX0157,Energy,Power,Grid Trend
TX0158,Energy,Power,Grid Market
TX0159,Energy,Power,Grid Strategy
TX0160,Energy,Power,Grid Case Study
TX0161,Energy,Transition,Hydrogen
TX0162,Energy,Transition,CCUS
TX0163,Energy,Transition,SMR
TX0164,Energy,Transition,Renewable Mix
TX0165,Energy,Transition,Hydrogen Trend
TX0166,Energy,Transition,Hydrogen Market
TX0167,Energy,Transition,Hydrogen Strategy
TX0168,Energy,Transition,Hydrogen Case Study
TX0169,Mobility,EV,Battery
TX0170,Mobility,EV,Charging
TX0171,Mobility,EV,EV Platform
TX0172,Mobility,EV,Autonomous Driving
TX0173,Mobility,EV,Battery Trend
TX0174,Mobility,EV,Battery Market
TX0175,Mobility,EV,Battery Strategy
TX0176,Mobility,EV,Battery Case Study
TX0177,Mobility,Automotive,OEM
TX0178,Mobility,Automotive,Powertrain
TX0179,Mobility,Automotive,ADAS
TX0180,Mobility,Automotive,Infotainment
TX0181,Mobility,Automotive,OEM Trend
TX0182,Mobility,Automotive,OEM Market
TX0183,Mobility,Automotive,OEM Strategy
TX0184,Mobility,Automotive,OEM Case Study
TX0185,Mobility,Transport Service,Ride Hailing
TX0186,Mobility,Transport Service,Mobility Platform
TX0187,Mobility,Transport Service,Fleet
TX0188,Mobility,Transport Service,Logistics EV
TX0189,Mobility,Transport Service,Ride Hailing Trend
TX0190,Mobility,Transport Service,Ride Hailing Market
TX0191,Mobility,Transport Service,Ride Hailing Strategy
TX0192,Mobility,Transport Service,Ride Hailing Case Study
TX0193,AerospaceDefense,Defense,Missile
TX0194,AerospaceDefense,Defense,Radar
TX0195,AerospaceDefense,Defense,Ammunition
TX0196,AerospaceDefense,Defense,Naval System
TX0197,AerospaceDefense,Defense,Missile Trend
TX0198,AerospaceDefense,Defense,Missile Market
TX0199,AerospaceDefense,Defense,Missile Strategy
TX0200,AerospaceDefense,Defense,Missile Case Study
TX0201,AerospaceDefense,Aerospace,Aircraft
TX0202,AerospaceDefense,Aerospace,Satellite
TX0203,AerospaceDefense,Aerospace,Launch
TX0204,AerospaceDefense,Aerospace,Space Data
TX0205,AerospaceDefense,Aerospace,Aircraft Trend
TX0206,AerospaceDefense,Aerospace,Aircraft Market
TX0207,AerospaceDefense,Aerospace,Aircraft Strategy
TX0208,AerospaceDefense,Aerospace,Aircraft Case Study
TX0209,AerospaceDefense,Security,Border Security
TX0210,AerospaceDefense,Security,Drone Defense
TX0211,AerospaceDefense,Security,Command System
TX0212,AerospaceDefense,Security,Military AI
TX0213,AerospaceDefense,Security,Border Security Trend
TX0214,AerospaceDefense,Security,Border Security Market
TX0215,AerospaceDefense,Security,Border Security Strategy
TX0216,AerospaceDefense,Security,Border Security Case Study
TX0217,Construction,Architecture,Library
TX0218,Construction,Architecture,Public Building
TX0219,Construction,Architecture,Cultural Facility
TX0220,Construction,Architecture,Urban Regeneration
TX0221,Construction,Architecture,Library Trend
TX0222,Construction,Architecture,Library Market
TX0223,Construction,Architecture,Library Strategy
TX0224,Construction,Architecture,Library Case Study
TX0225,Construction,Housing,Apartment
TX0226,Construction,Housing,Remodeling
TX0227,Construction,Housing,Interior
TX0228,Construction,Housing,Smart Home
TX0229,Construction,Housing,Apartment Trend
TX0230,Construction,Housing,Apartment Market
TX0231,Construction,Housing,Apartment Strategy
TX0232,Construction,Housing,Apartment Case Study
TX0233,Construction,Infrastructure,Rail
TX0234,Construction,Infrastructure,Road
TX0235,Construction,Infrastructure,Bridge
TX0236,Construction,Infrastructure,Water
TX0237,Construction,Infrastructure,Rail Trend
TX0238,Construction,Infrastructure,Rail Market
TX0239,Construction,Infrastructure,Rail Strategy
TX0240,Construction,Infrastructure,Rail Case Study
TX0241,MediaEntertainment,K-Pop,Agency
TX0242,MediaEntertainment,K-Pop,Tour
TX0243,MediaEntertainment,K-Pop,Fandom Platform
TX0244,MediaEntertainment,K-Pop,IP Merchandise
TX0245,MediaEntertainment,K-Pop,Agency Trend
TX0246,MediaEntertainment,K-Pop,Agency Market
TX0247,MediaEntertainment,K-Pop,Agency Strategy
TX0248,MediaEntertainment,K-Pop,Agency Case Study
TX0249,MediaEntertainment,Video,Streaming
TX0250,MediaEntertainment,Video,OTT
TX0251,MediaEntertainment,Video,Short Form
TX0252,MediaEntertainment,Video,Creator Economy
TX0253,MediaEntertainment,Video,Streaming Trend
TX0254,MediaEntertainment,Video,Streaming Market
TX0255,MediaEntertainment,Video,Streaming Strategy
TX0256,MediaEntertainment,Video,Streaming Case Study
TX0257,MediaEntertainment,Gaming,PC Game
TX0258,MediaEntertainment,Gaming,Mobile Game
TX0259,MediaEntertainment,Gaming,Console
TX0260,MediaEntertainment,Gaming,Esports
TX0261,MediaEntertainment,Gaming,PC Game Trend
TX0262,MediaEntertainment,Gaming,PC Game Market
TX0263,MediaEntertainment,Gaming,PC Game Strategy
TX0264,MediaEntertainment,Gaming,PC Game Case Study
TX0265,Telecom,Network,5G
TX0266,Telecom,Network,6G
TX0267,Telecom,Network,Fiber
TX0268,Telecom,Network,Edge
TX0269,Telecom,Network,5G Trend
TX0270,Telecom,Network,5G Market
TX0271,Telecom,Network,5G Strategy
TX0272,Telecom,Network,5G Case Study
TX0273,Telecom,Service,Subscriber Growth
TX0274,Telecom,Service,ARPU
TX0275,Telecom,Service,Bundling
TX0276,Telecom,Service,MVNO
TX0277,Telecom,Service,Subscriber Growth Trend
TX0278,Telecom,Service,Subscriber Growth Market
TX0279,Telecom,Service,Subscriber Growth Strategy
TX0280,Telecom,Service,Subscriber Growth Case Study
TX0281,Telecom,Enterprise,B2B ICT
TX0282,Telecom,Enterprise,Cloud Telco
TX0283,Telecom,Enterprise,Security
TX0284,Telecom,Enterprise,IoT
TX0285,Telecom,Enterprise,B2B ICT Trend
TX0286,Telecom,Enterprise,B2B ICT Market
TX0287,Telecom,Enterprise,B2B ICT Strategy
TX0288,Telecom,Enterprise,B2B ICT Case Study
TX0289,LogisticsShipping,Shipping,Container
TX0290,LogisticsShipping,Shipping,Bulk
TX0291,LogisticsShipping,Shipping,Port
TX0292,LogisticsShipping,Shipping,Freight Rate
TX0293,LogisticsShipping,Shipping,Container Trend
TX0294,LogisticsShipping,Shipping,Container Market
TX0295,LogisticsShipping,Shipping,Container Strategy
